date,topic_name,topic_url,description,authors
2021-11-24,The N501Y spike substitution enhances SARS-CoV-2 infection and transmission,https://www.nature.com/articles/s41586-021-04245-0,,"Yang Liu, Jianying Liu, Scott C. Weaver"
2021-11-24,Reply to: Spatial scale and the synchrony of ecological disruption,https://www.nature.com/articles/s41586-021-03760-4,,"Christopher H. Trisos, Cory Merow, Alex L. Pigot"
2021-11-24,Spatial scale and the synchrony of ecological disruption,https://www.nature.com/articles/s41586-021-03759-x,,Robert K. Colwell
2021-11-24,Artificial heavy fermions in a van der Waals heterostructure,https://www.nature.com/articles/s41586-021-04021-0,"A study demonstrates the synthesis and characterization of a two-dimensional van der Waals heterostructure hosting artificial heavy fermions, providing a tunable platform for investigations of heavy-fermion physics.","Viliam Vaňo, Mohammad Amini, Peter Liljeroth"
2021-11-24,ecDNA hubs drive cooperative intermolecular oncogene expression,https://www.nature.com/articles/s41586-021-04116-8,Extrachromosomal DNA (ecDNA) congregates in clusters called ecDNA hubs that promote intermolecular interactions between gene-regulatory regions and thereby amplify the expression of oncogenes such as MYC in cancer cell lines.,"King L. Hung, Kathryn E. Yost, Howard Y. Chang"
2021-11-24,The CLIP1–LTK fusion is an oncogenic driver in non‐small‐cell lung cancer,https://www.nature.com/articles/s41586-021-04135-5,Whole-transcriptome sequencing of a subset of 75 non-small-cell lung cancer specimens in a multi-institutional genome screening study identified a fusion of the CLIP1 and LTK genes with transformational potential due to constitutive LTK kinase activity.,"Hiroki Izumi, Shingo Matsumoto, Koichi Goto"
2021-11-24,Ultrahard bulk amorphous carbon from collapsed fullerene,https://www.nature.com/articles/s41586-021-03882-9,"Preparing amorphous phases of carbon with mostly sp3 bonding in bulk is challenging, but macroscopic samples that are nearly pure sp3 are synthesized here by heating fullerenes at high pressure.","Yuchen Shang, Zhaodong Liu, Bingbing Liu"
2021-11-24,Electron-beam energy reconstruction for neutrino oscillation measurements,https://www.nature.com/articles/s41586-021-04046-5,"Electron scattering measurements are shown to reproduce only qualitatively state-of-the-art lepton–nucleus energy reconstruction models, indicating that improvements to these particle-interaction models are required to ensure the accuracy of future high-precision neutrino oscillation experiments.","M. Khachatryan, A. Papadopoulou, S. Gardiner"
2021-11-24,Fam72a enforces error-prone DNA repair during antibody diversification,https://www.nature.com/articles/s41586-021-04093-y,FAM72A interacts with UNG2 to regulate the balance between error-prone and error-free DNA repair.,"Mélanie Rogier, Jacques Moritz, Bernardo Reina-San-Martin"
2021-11-24,Aldehyde-driven transcriptional stress triggers an anorexic DNA damage response,https://www.nature.com/articles/s41586-021-04133-7,Endogenous formaldehyde accumulation reveals Cockayne syndrome in mice and stimulates production of the anorexiogenic peptide GDF15 in proximal tubule cells.,"Lee Mulderrig, Juan I. Garaycoechea, Ketan J. Patel"
2021-11-24,The human microbiome encodes resistance to the antidiabetic drug acarbose,https://www.nature.com/articles/s41586-021-04091-0,Bacteria in the human gut and oral microbiome encode enzymes that selectively phosphorylate the antidiabetic drug acarbose—an inhibitor of both human and bacterial α-glucosidases—resulting in its inactivation and limiting the drug's effects on the ability of the host to metabolize complex carbohydrates.,"Jared Balaich, Michael Estrella, Mohamed S. Donia"
2021-11-24,Contextual inference underlies the learning of sensorimotor repertoires,https://www.nature.com/articles/s41586-021-04129-3,"A theory of motor learning based on the principle of contextual inference reveals that adaptation can arise by both creating and updating memories and changing how existing memories are differentially expressed, and predicts evoked recovery and context-dependent single-trial learning.","James B. Heald, Máté Lengyel, Daniel M. Wolpert"
2021-11-24,Mechanism for the activation of the anaplastic lymphoma kinase receptor,https://www.nature.com/articles/s41586-021-04140-8,"Cryo-electron microscopy, nuclear magnetic resonance and X-ray crystallography are used to provide structural and mechanistic details of the activation of anaplastic lymphoma kinase by the ligands ALKAL1 and ALKAL2.","Andrey V. Reshetnyak, Paolo Rossi, Charalampos G. Kalodimos"
2021-11-24,On-chip electro-optic frequency shifters and beam splitters,https://www.nature.com/articles/s41586-021-03999-x,"Engineering of the coupling between optical modes in a lithium niobate chip enables the realization of tunable, bi-directional and low-loss electro-optic frequency shifters controlled using only continuous and single-tone microwaves.","Yaowen Hu, Mengjie Yu, Marko Lončar"
2021-11-24,Quantum gas magnifier for sub-lattice-resolved imaging of 3D quantum systems,https://www.nature.com/articles/s41586-021-04011-2,"Existing techniques for high-resolution imaging of trapped quantum gases are limited to two-dimensional systems, but the approach described here works in three dimensions by magnifying the quantum gas with matter wave optics.","Luca Asteria, Henrik P. Zahn, Christof Weitenberg"
2021-11-24,Mechanical forcing of the North American monsoon by orography,https://www.nature.com/articles/s41586-021-03978-2,"The core North American monsoon arises through topographic steering of the jet stream, and should be considered as convection-enhanced orographic rainfall produced by a mechanically forced stationary wave.","William R. Boos, Salvatore Pascale"
2021-11-24,Synthesis of paracrystalline diamond,https://www.nature.com/articles/s41586-021-04122-w,"A study describes the synthesis, structural characterization and formation mechanism of a paracrystalline state of diamond, adding an unusual form of diamond to the family of carbon-based materials.","Hu Tang, Xiaohong Yuan, Huiyang Gou"
2021-11-24,IL-27 signalling promotes adipocyte thermogenesis and energy expenditure,https://www.nature.com/articles/s41586-021-04127-5,"Therapeutic administration of IL-27—serum levels of which are decreased in individuals with obesity—improves thermogenesis, protects against diet-induced obesity and ameliorates insulin resistance in mouse models of obesity.","Qian Wang, Dehai Li, Zhinan Yin"
2021-11-24,Colossal angular magnetoresistance in ferrimagnetic nodal-line semiconductors,https://www.nature.com/articles/s41586-021-04028-7,"A study reports a colossal angular magnetoresistance in the topological magnet Mn3Si2Te6, resulting from a metal-to-insulator transition caused by controlled lifting of a topological band degeneracy, and discusses the key parameters involved.","Junho Seo, Chandan De, Jun Sung Kim"
